,word,count
1681,glasses,1
1682,dress,4
1683,equilateral,1
1684,surprised,1
1685,Unknown,1
1686,wealthy,1
1687,richer,1
1688,"digits,",1
1689,awash,1
1690,dog,9
1691,plague,8
1692,drug,1
1693,note,3
1694,biological,3
1695,voted,1
1696,Maxamillion’s,1
1697,taking,2
1698,Cremation,1
1699,single,7
1700,queerly,1
1701,contact,1
1702,has,3
1703,provide,1
1704,month,1
1705,cord,1
1706,fingertips,1
1707,mouths,1
1708,culminated,1
1709,tended,1
1710,gauze,1
1711,go,3
1712,ice,1
1713,standing,2
1714,doctor’s,1
1715,crimson,2
1716,soon,4
1717,area,2
1718,"presented,",1
1719,Heather,37
1720,blow,1
1721,arms,3
1722,lass,1
1723,like,18
1724,beside,2
1725,at,39
1726,"brother,",1
1727,"dead,",2
1728,kidnaping,3
1729,dealt,1
1730,previous,1
1731,handy,1
1732,hung,1
1733,an,32
1734,inventors,1
1735,flick,1
1736,"scribes,",1
1737,"I,",1
1738,can,5
1739,father’s,2
1740,small,14
1741,leaning,2
1742,"prank,",1
1743,hideous,1
1744,"said,",1
1745,draw,1
1746,suffer,1
1747,calmed,2
1748,"Messer
",1
